2023-12-07 10:32:46 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_409', methodName='testPaddingOnFixedWidth'}=TestCaseResult{TestState='FAL', usageTime='2936'}}
2023-12-07 10:32:46 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:32:46 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:11
2023-12-07 10:32:46 [main] INFO  org.regminer.miner.BFCEvaluator - a0a4ebd772ce5172007835b9e2f7f5b52be0e437 checkout 
2023-12-07 10:32:46 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Issue394: Code to handle where all the lines should be treated as actual data including # (#412)
2023-12-07 10:32:59 [main] DEBUG org.regminer.migrate.api.Migrator - compile error after migrate
2023-12-07 10:32:59 [main] INFO  org.regminer.miner.BFCEvaluator - Can't find a bfc-1
2023-12-07 10:32:59 [main] INFO  org.regminer.miner.BFCEvaluator - 3c2c2fa22ef6f53f8a94bedc9b398daaf45fe23f checkout 
2023-12-07 10:32:59 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:resolved annoyance excluding fields reported on issue #383
2023-12-07 10:33:17 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_383', methodName='testFieldNameExclusionError'}=TestCaseResult{TestState='FAL', usageTime='2915'}, TestCase{className='com.univocity.parsers.issues.github.Github_383', methodName='testIndexExclusionError'}=TestCaseResult{TestState='FAL', usageTime='1965'}}
2023-12-07 10:33:17 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:33:17 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:12
2023-12-07 10:33:17 [main] INFO  org.regminer.miner.BFCEvaluator - 1c5ff69f37bca5c057c7f01fe88f63b7b67cfdf7 checkout 
2023-12-07 10:33:17 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed bug reported on issue #405
2023-12-07 10:33:36 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_405', methodName='testPaddingOnFixedWidth'}=TestCaseResult{TestState='FAL', usageTime='2021'}, TestCase{className='com.univocity.parsers.issues.github.Github_276', methodName='testKeepPaddingFlag'}=TestCaseResult{TestState='PASS', usageTime='3757'}}
2023-12-07 10:33:36 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:33:36 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:13
2023-12-07 10:33:36 [main] INFO  org.regminer.miner.BFCEvaluator - f34ef02b365d4341ccfbf31ab42fdfa2519f5b38 checkout 
2023-12-07 10:33:36 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed bug reported on issue #404
2023-12-07 10:33:51 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_404', methodName='testMultiDelimiter'}=TestCaseResult{TestState='FAL', usageTime='2962'}}
2023-12-07 10:33:51 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:33:51 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:14
2023-12-07 10:33:51 [main] INFO  org.regminer.miner.BFCEvaluator - 4bbd14fdb77ae76b4fc8883a3e10b7d245ff8add checkout 
2023-12-07 10:33:51 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Merge pull request #399 from marksto/bugfix/fix-init-in-DefaultConversionProcessor
2023-12-07 10:33:54 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:33:54 [main] INFO  org.regminer.miner.BFCEvaluator - f92f989af758eabf0db875760083a9ac1b527e06 checkout 
2023-12-07 10:33:54 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Fixed the repeatable conversions initialization in the DefaultConversionProcessor leading to a performance degrdation on big input files
2023-12-07 10:33:57 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:33:57 [main] INFO  org.regminer.miner.BFCEvaluator - 442035477783ea6026a8aeee6caa02ead1facbad checkout 
2023-12-07 10:33:57 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Merge pull request #391 from marksto/bugfix/NPE-in-EnumConversion
2023-12-07 10:34:01 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:34:01 [main] INFO  org.regminer.miner.BFCEvaluator - 8589d77fe813a5b259adafefde956b98b719e300 checkout 
2023-12-07 10:34:01 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Fix NPE in EnumConversion in case there's no CUSTOM_METHOD selector for String -> Enum
2023-12-07 10:34:04 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:34:04 [main] INFO  org.regminer.miner.BFCEvaluator - 99511127a5e5e032833c42aa371f88d8feecf871 checkout 
2023-12-07 10:34:04 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed error causing empty file to be locked by the operating system.
2023-12-07 10:34:07 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:34:07 [main] INFO  org.regminer.miner.BFCEvaluator - 35e8913eaff8f653b7f17da84d22f8300022a23b checkout 
2023-12-07 10:34:07 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:javadoc fixes
2023-12-07 10:34:10 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:34:10 [main] INFO  org.regminer.miner.BFCEvaluator - ec454b7a442bac828e85f5f6fbc2266a2214510b checkout 
2023-12-07 10:34:10 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:implemented support for disabling quoting of null values when writing CSV. Github #352
2023-12-07 10:34:21 [main] DEBUG org.regminer.migrate.api.Migrator - compile error after migrate
2023-12-07 10:34:21 [main] INFO  org.regminer.miner.BFCEvaluator - Can't find a bfc-1
2023-12-07 10:34:21 [main] INFO  org.regminer.miner.BFCEvaluator - c69768275e6ac546b37b149bf64109dd332e3d27 checkout 
2023-12-07 10:34:21 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Merge pull request #378 from dixita-lad/fix/quotedParserFix
2023-12-07 10:34:24 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:34:24 [main] INFO  org.regminer.miner.BFCEvaluator - 26d276512f96b29a9082cc822a169057b4411f57 checkout 
2023-12-07 10:34:24 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed quoted parser when using non-printable char as delimiter
2023-12-07 10:34:27 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:34:27 [main] INFO  org.regminer.miner.BFCEvaluator - 1bff05eedec5f5bb24f775eb7c0a774a4d18e7f1 checkout 
2023-12-07 10:34:27 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Merge pull request #369 from GreenFur05/fixFillOutputRow
2023-12-07 10:34:43 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.common.AbstractWriterTest', methodName='testSelectFields'}=TestCaseResult{TestState='NOTEST', usageTime='1841'}, TestCase{className='com.univocity.parsers.common.AbstractWriterTest', methodName='testExcludeFields'}=TestCaseResult{TestState='NOTEST', usageTime='1851'}}
2023-12-07 10:34:43 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:34:43 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:15
2023-12-07 10:34:43 [main] INFO  org.regminer.miner.BFCEvaluator - fc676b03b8cc1d8bf323fc404fa23c9240a554c6 checkout 
2023-12-07 10:34:43 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Fixed excludeFields(), added appropriate test
2023-12-07 10:34:53 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.common.AbstractWriterTest', methodName='testExcludeFields'}=TestCaseResult{TestState='FAL', usageTime='1933'}}
2023-12-07 10:34:53 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:34:53 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:16
2023-12-07 10:34:53 [main] INFO  org.regminer.miner.BFCEvaluator - d32e931daf93d24a979416684ab8f5bf4b3ed25b checkout 
2023-12-07 10:34:53 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed breaking change reported here: https://github.com/uniVocity/univocity-parsers/commit/a8ba0f5a4eab78757085035797a86ad4aee20eff#commitcomment-36230603
2023-12-07 10:34:56 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:34:56 [main] INFO  org.regminer.miner.BFCEvaluator - 3ee9d3c5827448f0d82b2ef53cc049efe750c3b2 checkout 
2023-12-07 10:34:56 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed issue #353 (incorrect writing of blank vales with spaces trimmed when empty value is set to "")
2023-12-07 10:35:14 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_353', methodName='testParsingEmptyValuesSpacesAndQuoting'}=TestCaseResult{TestState='PASS', usageTime='2964'}, TestCase{className='com.univocity.parsers.issues.github.Github_353', methodName='testEmptyValuesSpacesAndQuoting'}=TestCaseResult{TestState='PASS', usageTime='1861'}}
2023-12-07 10:35:14 [main] INFO  org.regminer.miner.BFCEvaluator - Can't find a bfc-1
2023-12-07 10:35:14 [main] INFO  org.regminer.miner.BFCEvaluator - 19dbb17c3117bee53526526e0e5051d966341f12 checkout 
2023-12-07 10:35:14 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed issue #357 (value with line separator not enclosed in quotes)
2023-12-07 10:35:28 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_357', methodName='testLineSeparatorQuoting'}=TestCaseResult{TestState='FAL', usageTime='3139'}}
2023-12-07 10:35:28 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:35:28 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:17
2023-12-07 10:35:28 [main] INFO  org.regminer.miner.BFCEvaluator - 54bf2671e790139732ef69c964c710879ca9a788 checkout 
2023-12-07 10:35:28 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:fixed issue #350 where headers in metadata of a record would be modified if same parser instance runs for another file with different headers
