"_id","clone_url","commit_size","full_name","issue_size","repo_size","status"
"apache/ofbiz","https://github.com/apache/ofbiz.git","24427","apache/ofbiz","15","892930","false"
"zycgit/hasor","https://github.com/zycgit/hasor.git","3696","zycgit/hasor","77","64844","false"
"febsteam/FEBS-Security","https://github.com/febsteam/FEBS-Security.git","55","febsteam/FEBS-Security","8","4681","false"
"abel533/guns","https://github.com/abel533/guns.git","468","abel533/guns","7","7351","true"
"tomergoldst/tooltips","https://github.com/tomergoldst/tooltips.git","84","tomergoldst/tooltips","35","287","false"
"javaee/glassfish","https://github.com/javaee/glassfish.git","35617","javaee/glassfish","559","338666","false"
"prscX/react-native-photo-editor","https://github.com/prscX/react-native-photo-editor.git","123","prscX/react-native-photo-editor","111","18067","false"
"senzhk/ADBKeyBoard","https://github.com/senzhk/ADBKeyBoard.git","38","senzhk/ADBKeyBoard","40","922","false"
"theotherp/nzbhydra2","https://github.com/theotherp/nzbhydra2.git","2216","theotherp/nzbhydra2","659","166179","false"
"google/google-api-java-client-samples","https://github.com/google/google-api-java-client-samples.git","340","google/google-api-java-client-samples","14","55337","true"
"Vincent7Wong/EasyNavigation","https://github.com/Vincent7Wong/EasyNavigation.git","99","Vincent7Wong/EasyNavigation","14","6417","false"
"tekinarslan/AndroidMaterialDesignToolbar","https://github.com/tekinarslan/AndroidMaterialDesignToolbar.git","36","tekinarslan/AndroidMaterialDesignToolbar","14","103","false"
"Shouheng88/MarkNote","https://github.com/Shouheng88/MarkNote.git","959","Shouheng88/MarkNote","25","42223","true"
"dodola/android_waterfall","https://github.com/dodola/android_waterfall.git","38","dodola/android_waterfall","11","7364","false"
"hitherejoe/Vineyard","https://github.com/hitherejoe/Vineyard.git","115","hitherejoe/Vineyard","8","43650","false"
"pgjdbc/r2dbc-postgresql","https://github.com/pgjdbc/r2dbc-postgresql.git","577","pgjdbc/r2dbc-postgresql","368","2747","true"
"xuyisheng/DesignSupportLibraryDemo","https://github.com/xuyisheng/DesignSupportLibraryDemo.git","15","xuyisheng/DesignSupportLibraryDemo","0","2674","false"
"Wang-Jun-Chao/leetcode","https://github.com/Wang-Jun-Chao/leetcode.git","113","Wang-Jun-Chao/leetcode","0","1215","false"
