"_id","clone_url","commit_size","full_name","gradle_num","issue_size","pom_num","repo_size","status","tesfile_num"
"iluwatar/java-design-patterns","https://github.com/iluwatar/java-design-patterns.git","3070","iluwatar/java-design-patterns","0","1435","151","26096","true","473"
"netty/netty","https://github.com/netty/netty.git","10268","netty/netty","0","10628","44","68108","true","793"
"JakeWharton/butterknife","https://github.com/JakeWharton/butterknife.git","1016","JakeWharton/butterknife","12","1530","0","3909","true","84"
"alibaba/druid","https://github.com/alibaba/druid.git","6395","alibaba/druid","0","2242","4","64359","true","3580"
"alibaba/fastjson","https://github.com/alibaba/fastjson.git","3810","alibaba/fastjson","0","2074","1","14943","true","2792"
"google/gson","https://github.com/google/gson.git","1485","google/gson","2","1211","6","10647","true","112"
"alibaba/easyexcel","https://github.com/alibaba/easyexcel.git","429","alibaba/easyexcel","0","1576","1","24834","true","156"
"seata/seata","https://github.com/seata/seata.git","1216","seata/seata","0","3083","75","7418","true","363"
"dromara/hutool","https://github.com/dromara/hutool.git","1821","dromara/hutool","0","1488","21","37296","true","329"
"alibaba/nacos","https://github.com/alibaba/nacos.git","3032","alibaba/nacos","0","4963","17","41091","true","150"
"greenrobot/greenDAO","https://github.com/greenrobot/greenDAO.git","883","greenrobot/greenDAO","11","842","0","7357","true","149"
"google/guice","https://github.com/google/guice.git","1928","google/guice","0","1144","18","84511","true","223"
"YunaiV/SpringBoot-Labs","https://github.com/YunaiV/SpringBoot-Labs.git","664","YunaiV/SpringBoot-Labs","0","21","665","1750","true","197"
"google/auto","https://github.com/google/auto.git","1229","google/auto","0","955","12","5544","true","164"
"MyCATApache/Mycat-Server","https://github.com/MyCATApache/Mycat-Server.git","2816","MyCATApache/Mycat-Server","0","1926","1","19347","true","164"
"grpc/grpc-java","https://github.com/grpc/grpc-java.git","4796","grpc/grpc-java","44","7527","5","50525","true","451"
"junit-team/junit4","https://github.com/junit-team/junit4.git","2474","junit-team/junit4","0","1548","1","24337","true","252"
"TooTallNate/Java-WebSocket","https://github.com/TooTallNate/Java-WebSocket.git","1068","TooTallNate/Java-WebSocket","1","1110","1","3999","true","75"
"quarkusio/quarkus","https://github.com/quarkusio/quarkus.git","20296","quarkusio/quarkus","92","14554","1131","95916","true","4976"
"airbnb/epoxy","https://github.com/airbnb/epoxy.git","424","airbnb/epoxy","17","947","0","6373","true","314"
"vipshop/vjtools","https://github.com/vipshop/vjtools.git","401","vipshop/vjtools","0","146","7","2058","true","86"
"AsyncHttpClient/async-http-client","https://github.com/AsyncHttpClient/async-http-client.git","4099","AsyncHttpClient/async-http-client","0","1696","14","18173","true","133"
"google/error-prone","https://github.com/google/error-prone.git","4804","google/error-prone","0","1996","10","90318","true","1177"
"real-logic/aeron","https://github.com/real-logic/aeron.git","14279","real-logic/aeron","2","1140","0","48223","true","194"
"rest-assured/rest-assured","https://github.com/rest-assured/rest-assured.git","2020","rest-assured/rest-assured","0","1051","32","10014","true","269"
"Tencent/Shadow","https://github.com/Tencent/Shadow.git","1465","Tencent/Shadow","84","398","0","3144","true","195"
"micronaut-projects/micronaut-core","https://github.com/micronaut-projects/micronaut-core.git","10075","micronaut-projects/micronaut-core","39","4650","0","71470","true","1070"
"testcontainers/testcontainers-java","https://github.com/testcontainers/testcontainers-java.git","2420","testcontainers/testcontainers-java","57","3566","0","5330","true","484"
"mybatis/generator","https://github.com/mybatis/generator.git","1192","mybatis/generator","0","669","17","45979","true","177"
